seurat_clusters	Sample	.n	.frac
c1	P1S	450	0.31013094417643
c1	P1U	20	0.051150895140665
c1	P2S	19	0.0116279069767442
c1	P2U	8	0.0194647201946472
c2	P1S	48	0.0330806340454859
c2	P1U	54	0.138107416879795
c2	P2S	291	0.178090575275398
c2	P2U	81	0.197080291970803
c3	P1S	36	0.0248104755341144
c3	P1U	41	0.104859335038363
c3	P2S	260	0.159118727050184
c3	P2U	83	0.201946472019465
c4	P1S	102	0.0702963473466575
c4	P1U	41	0.104859335038363
c4	P2S	212	0.129742962056304
c4	P2U	54	0.131386861313869
c5	P1S	56	0.0385940730530668
c5	P1U	37	0.0946291560102302
c5	P2S	251	0.153610771113831
c5	P2U	60	0.145985401459854
c6	P1S	295	0.203308063404549
c6	P1U	34	0.0869565217391304
c6	P2S	8	0.00489596083231334
c6	P2U	2	0.0048661800486618
c7	P1S	60	0.0413507925568573
c7	P1U	34	0.0869565217391304
c7	P2S	208	0.127294981640147
c7	P2U	20	0.048661800486618
c8	P1S	173	0.119228118538939
c8	P1U	31	0.0792838874680307
c8	P2S	79	0.0483476132190942
c8	P2U	10	0.024330900243309
c9	P1S	31	0.0213645761543763
c9	P1U	36	0.0920716112531969
c9	P2S	159	0.0973072215422277
c9	P2U	58	0.141119221411192
c10	P1S	93	0.0640937284631289
c10	P1U	40	0.10230179028133
c10	P2S	72	0.0440636474908201
c10	P2U	20	0.048661800486618
c11	P1S	39	0.0268780151619573
c11	P1U	7	0.0179028132992327
c11	P2S	58	0.0354957160342717
c11	P2U	9	0.0218978102189781
c12	P1S	68	0.0468642315644383
c12	P1U	16	0.040920716112532
c12	P2S	17	0.0104039167686659
c12	P2U	6	0.0145985401459854
